document,ent1,ent1_start,ent1_end,ent2,ent2_start,ent2_end,relation
"The subject of the non-finite element and that of the main verb of the projecting clause are co-referential in ( 17 ) . The gerund in ( 17a ) is imperfective and can construe a proposition of fact , functioning as the complement of the main verb considers . The infinitive in ( 17b ) is a projected act , and so it cannot construe a proposition of fact or function as the complement of the main verb considers . This further shows that , although a projected act can also have an absolute subject , the absolute subject of a projected fact is more independent . Subject clauses are fact clauses . The reason why they are more independent than complement clauses is that although complement clauses can also be projected facts , their subjects are still influenced on ( assign case ) by the main verbs in the projecting clauses to some extent . For example , if withdrawal in ( 13b ) is a personal pronoun , it should be accusative . The subject of a subject clause is not influenced by the main verb in the matrix clause ; it can be nominative , hence more independent .",The subject,0,2,the main verbs,145,148,no relation found
"Chilli provides a significant contribution to the local and national economy , and it has the potential to trigger inflation . With an increase in the rapidity of modern technology and innovations , adoption of intensive chilli farming is expected to give a substantial contribution to Indonesian rural economic development . However , the introduction of new technology is not always successfully adopted by farmers . It also reflects the low level of national productivity of chilli in Indonesia . Some of the constraints on enhancing adoption of chilli by ordinary farmers are like lack of credit , limited access to technological and market information , a small holding of farm size , lack of human capital , a chaotic supply of complementary inputs , and inappropriate transportation infrastructure .",it,13,14,inflation,19,20,it has the potential to trigger inflation.
"As the survey suggested , many of the teachers in this study were aware of the importance of listening and speaking in the development of English competency but they contended the examination needed to change to include these components before they would fit into classroom practices . Teacher educators interviewed also advocated the introduction of speaking and listening tests in high examinations . However , there was general acknowledgement that it would not be easy to find workable models for such tests . Several participants who said they encouraged speaking in their English class complained that they had no directives for evaluation . Some argued for models similar to the IELTS speaking test , with sections arranged in increasing levels of complexity . The form of the test was one challenge ; the mechanics another . Would there be one examiner and one candidate at a time ? Or could there be more complex arrangements that would allow students to hold conversations or debates ? Some doubts were expressed about what would happen if oral components were tested through any form of internal assessment . Many teachers voiced distrust of the fairness of their colleagues . Abdur Rahim , an English teacher , pointed out that problems already exist when teachers mark work : At the moment there is no rubric for marking students ' writing . Teachers award marks according to their own criteria . In an essay one teacher gives 8 of 10 , whereas another teacher may give 6 for the same essay . If a student writes from his own imagination there may be some mistakes in sentence structure or spelling mistakes ; on the other hand if a student writes from memorisation these kinds of mistakes are not visible . So , even though he is writing from memorisation , he is getting better marks than the first one .",no rubric,219,221,a student,258,260,There is no rubric for a student's writing.
"Filling in the House of Quality starts with listing the customer demands in the rows in the central part of the house . Subsequently , the degree of importance of the customer demands is filled in . The score of the own existing product and that of competitors with respects to the customer demands are then listed , usually on an integer scale from 1 to 5 . On the basis of this competitive benchmarking and strategic considerations , the company plan for each customer demand is chosen , again on an integer scale from 1 to 5 . The rate of improvement is calculated by dividing the company plan by the current company score .",importance,28,29,an integer scale,60,63,no relation found
"This theory - driven study is the first comparative research on resource evaluation to use the COR theory and body image between these two clinical samples with an additional healthy control group , which is its strength . However , we should bear in mind that the cross-sectional design of the study makes it difficult to draw a causal conclusion from the obtained results . Specifically , due to the study 's design , we were able to assess not resource loss nor resource gain over time among the participants , but only the current level of the subjectively assessed resources . In addition , the study samples differed substantially regarding many demographic variables .",we,40,41,the obtained results,61,64,We should bear in mind that the cross-sectional design of the study makes it difficult to draw a causal conclusion from the obtained results.
This section is intended to represent an implementation of Saari and Sieberg 's suggested approach ( Saari and Sieberg 2004 ) as applied to the model presented here . We consider the possibility of a Borda count over multiple experts using one criterion and also a Borda count over multiple criteria as judged by a single expert .,This section,0,2,a Borda count,34,37,"In this section, we consider the possibility of a Borda count."
"In this section we focus on the power of the FPGA fabric ( i.e. , PL ) that is supplied by the VCCINT power rail . Other power rails include VCCAUX that powers the clock managers and the IOs among other blocks and the VCCBRAM use with the BlockRAMs . The power drawn from these additional power rails is considerably lower than VCCINT . In addition , the processing side of the device where the ARM processor resides is not included in the calculations . There is a large body of research of power and energy optimization on CPUs via sleep and wake - up states , etc which are outside the scope of this paper . A feasible solution will make sure that during BNN processing on the FPGA fabric the CPU cores enter sleep states to minimize power consumption and wake up via interrupts generated by the neural network itself once processing completes . Figs .",these additional power rails,54,58,"( i.e. , PL",12,16,"The power drawn from these additional power rails is considerably lower than VCCINTthat supplies the FPGA fabric ( i.e. , PL )."
"Although a formal government ranking has recently been discontinued , schools and colleges are still openly ranked on the basis of their examination results ( Prothom Alo 2015 ) . The higher the percentage of GPA5s a school or college produces , the higher its desirability and popular fame . The consequent fame allows the institution to be increasingly selective in selecting students who gained high scores in previous examinations .",The higher the percentage,30,34,a school,36,38,"The higher the percentage of GPA5s a school or college produces , the higher its desirability and popular fame."
"Many models of the design and development process have been published over the years , representing it for different purposes and from different points of view . This article contributes an organising framework that clarifies the topology of the literature on these models and thereby relates the main perspectives that have been developed . The main categories of model are introduced . Their contexts , advantages , and limitations are considered through discussion of selected examples . It is demonstrated that the framework integrates coverage of earlier reviews and as such provides a new perspective on the literature . Finally , key characteristics of design and development process models are discussed considering their applications in practice , and opportunities for further research are suggested . Overall , the article should aid researchers in positioning new models and new modelling approaches in relation to state - of - the - art . It may also be of interest to practitioners and educators seeking an overview of developments in this area .",The main categories,54,57,developments,165,166,no relation found
"Afterwards , the backlog is depleted at a rate that is determined as the difference of the service rate and the traffic arrival rate . For traffic rates that are close to the capacity limit of about 45 Mbps , this causes significantly prolonged relaxation times until the backlog overshoot is cleared . Further , we observe an increasing volatility for higher traffic rates , as can be seen from the 0.95 - quantile that grows more strongly than the mean .",traffic rates,26,28,the 0.95 - quantile,70,74,Traffic rates grow more strongly in the the 0.95 - quantile.
"The mean score at the subscale level ( = 3.85 on a five - point scale ) showed that participants held a moderately positive attitude toward the validity of the TOEIC Speaking test . This trend was confirmed by tests , which indicated that significantly more participants chose "" agree "" over "" neutral "" or "" disagree "" for each item . However , participants showed slightly different degrees of agreement with different aspects of test validity . The mean scores on construct validity and predictive validity were slightly higher than that on content validity . Indeed , an overwhelming majority of participants ( above 80 ) tended to agree that abilities measured by the test were essential to oral communication and that people receiving high scores had a higher ability . In contrast , only 59.3 of participants considered the test a good indicator of their English -speaking ability in daily life .",participants,19,20,slightly different degrees,67,70,Participants showed slightly different degrees of agreement.
"The decision to build up state general corporations into state economic groups has led to the formation of diversified businesses including insurance , finance , and banking and created new forms of directed credit and among SOEs . This move has resulted in rampant investment by many state conglomerates in both their core and non- core business activities .",state economic groups,9,12,non- core business activities,54,58,no relation found
"If this screwdriver model would be selected for a model conversion , strict application of the removal solution will lead to the complete removal of the first three function chains . Consequently , a converted FCO model of the screwdriver will not represent the functionality of interchangeable screw bits , nor the functionality of the fastening / locking mechanism of the screw bit and neither the functionality of the positioning of the screwdriver .",the screwdriver,38,40,strict application,12,14,no relation found
"resources . The possible strategies are many : process hybridization , right - sizing of facilities , utilization of new and cleaner technologies , etc . In fact , the use of specific technologies such as , for example , 3D printing , can help diminish the waste generation associated with both manufacturing and maintenance activities , or even contribute directly to improving productivity .",specific technologies,32,34,right - sizing,11,14,no relation found
"( 3 ) ideation stimulated by the Pugh matrices can provide large benefits both by improving the set of alternatives and by facilitating convergence . As a basis of comparison , alternatives to Pugh 's methods were assessed such as using a single summary criterion or using a Borda count . These models suggest that Pugh 's method , under a substantial range of assumptions , results in better design outcomes than those from these alternative procedures .",a basis,26,28,alternatives,19,20,"As a basis of comparison , alternatives to Pugh 's methods were assessed."
"Two directions for future work are the following . The naming of data streams can add more expressiveness in forming process graphs . An example concerns processes that need to process data that are available on a sibling processing stream rather than directly upstream . Second , built - in support for executing dgsh processes on multiple hosts , can extend the use of dgsh on computing clusters and distributed systems .",The naming,9,11,the following,6,8,no relation found
"1 . In the construction of a set of teaching resources for the high school curriculum which directly connects lessons across the Arts and Social Science curriculum to the devastating events which these pupils lived through and experienced first - hand ( Clark and MacGougan , 2014 ) 2 . In a study of the experiences and emotional responses of teachers , in their role as leaders and guardians in the wake of the earthquakes . One of the goals of this study is to explore opportunities for enhancing training and support mechanisms for teachers in high - stress environments ( Toole and MacDonald , 2013 )",this study,81,83,opportunities,86,87,This study explores opportunities.
"The shape of the correlation over looks as follows : It decreases for small with a slope depending on the correlation sources and reaches zero ( no correlation ) in some cases . It follows a damped or overdamped oscillation around / to zero or another value . Negative correlation can occur if the channel or traffic are considered as correlation sources . If the node locations are the sole source , mobility helps to reduce interference correlation . Nakagami block fading and Clarke 's model lead to qualitatively similar behavior for both interference correlation and coherence time .",It,10,11,a damped or overdamped oscillation,35,40,It follows a damped or overdamped oscillation.
"The number of raters in this study was small and they also possessed different L1 In my research context , recruiting NS instructors for the teacher rater group was not very difficult , but it was challenging to recruit LT professionals for the expert rater group and almost impossible to find NS LT professionals . This resulted in small sample size and different language backgrounds . The teacher raters were native speakers and the expert raters were not . This is a concern but it reflects the character of the educational context I am part of . Small sample size and different L1 backgrounds are the concerns and limitations to the study but as stated earlier , the purpose of this exploratory study is not to generalize the findings but to explore different scale perceptions across different rater groups . Even though data was collected from a small number of participants , I tried to incorporate various methods ( essay rating , survey , interview ) to collect in - depth information .",it,34,35,this exploratory study,120,123,no relation found
"1 . Can Japanese L2 learners utilizing animated glosses comprehend sentences with the target prepositions ( above , on , over ) better than those using pictorial glosses ? 2 . Can Japanese L2 learners utilizing animated glosses produce more sentences with the target prepositions than those using pictorial glosses ? 3 . Can visual glosses ( either pictorial or animated ) enhance both learners ' ability to understand and produce the target prepositions appropriately ?",animated glosses,7,9,animated glosses,7,9,no relation found
A variable thickness flow over a stretchable rotating disk is investigated in this article . Navier - Stokes equations together with Maxwell and heat transfer equations are transformed to a system of nonlinear ODEs . The arrangement of ODEs is further processed through a numerical scheme of PCM . The present investigation enables us to conclude that non-flatness of the stretching disk has a significant effect on the development of boundary layer .,a stretchable rotating disk,5,9,PCM,47,48,no relation found
"Continued ) Because of this difficulty in getting the total wealth of households , this study took into account landholding , housing , and vehicles as a proxy of variable for the wealth status of a household . The wealth ranking used in this study can better capture the relative wealth status of all farmers in the farm communities .",this study,14,16,variable,29,30,"This study took into account landholding, housing, and vehicles as a proxy of variable."
"Example 13 . Move 8 , Step 1 : Thus , the mortality values of HeLa cells in all the control systems were significantly lower than . . . . Move 9 : In summary , we demonstrated the rational design of a bioinspired DDS . Move b , Step 3 : Bioconjugated pH-responsive microgels offer a novel approach for highly specific targeting of cancer cells . We took advantage of the receptor-mediated endocytosis process . . .",We,67,68,Step,6,7,no relation found
"The formal organization of Industrial machinery is documented in procedures . Product development is organized in the product generation process . The product generation process is a stage gate process that involves all the related departments of the firm , that is , development and engineering , manufacturing and service . Most related procedures are documented and connected to the generic product generation process description . At a high level , each development program follows the structure as described in the product generation process . The product delivery organization can be characterized as a matrix organization with a strong project focus . A development program integrates all cross-departmental activities needed to deliver products . The organizational procedures are not prescriptive and formal , and even though the firm has been ISO9000 certified , local teams can make adjustments in their way of working . As a consequence , the actual way of working and the procedures oftentimes contradict . Several interviewees mentioned that the importance of time - tomarket limits the possibility to strictly follow documented procedures . Instead improvisation is implicitly stimulated , and the wheel is often reinvented by new personnel .",the procedures,154,156,products,112,113,no relation found
"The present study investigated the apology strategies used by Arab EFL students , based on their estimation to the social context and the severity of the offense being committed . The subjects produced a corpus of ( 693 ) apology responses ( 361 formal and 332 informal ) in which they used 10 out of the 13 apology strategies offered by the taxonomy . The results indicated that although the subjects considered all the formal and informal situations severe ; they used different apology strategies graded from simple strategy ( IFID ) to an intensified one . Furthermore , despite the differences in apologizing strategies used in the formal and informal situations , Arab EFL students tend to apologize extensively in both , even when the offense is not severe and informal .",The present study,0,3,the social context,18,21,The present study is based on their estimation to the social context.
"The differences of demographic characteristics in case and con- Odds ratios ( ORs ) and 95 confidence intervals ( CIs ) were calculated to evaluate the associations between CYP24A1 SNPs and ischemic stroke risk using logistic regression analysis with or without adjustment of age and gender . Multiple inheritance models were used for testing the relationship between SNPs and ischemic stroke risk using logistic regression analysis with adjustments by PLINK software . In addition , the stratified analyses were also carried out to access the association between SNPs and ischemic stroke risk in different subgroups ( age , gender , and other risk factors ) . All statistical analyses were calculated with SPSS 17.0 ( SPSS ) , and a two -tailed < .05 was considered to be statistically significant .",CIs,19,20,PLINK software,69,71,no relation found
"Meeting Synopsis 1 Team consulted an expert regarding the background of their design task . The consulted expert developed several redesigns in the past , which were discussed extensively in the meeting 2 Team A met with two measurement specialists to better understand what requirements their measurement device must satisfy to go in the market . The experts had much experience in developing such devices and provided process guidance and helped in evaluating the team 's early ideas regarding suitable measurement technologies 3 Team met with a senior designer to evaluate their list of potential technologies for their measurement device . Much time was spent on predicting the behaviour of the solutions 4 Two members of team met with a senior designer to evaluate their test rig concept , develop , and explore new solutions for a number of 5 Two members of team consulted two senior rig designers . The rig designers gave many practical tips and identified critical problems in the trainee 's rig design concept 6 A member of team approached two bearing designers to evaluate his concept design and his bearing calculations . The experts proposed many changes and drew these in the trainee 's CAD drawing .",The experts,56,58,a senior designer,86,89,The experts met with a senior designer to evaluate their list of potential technologies for their measurement device.
"Four workshops were held with students experienced in CSCD during The Global Design Project ( GDP ) in 2016 with 18 participants , and in 2017 with 26 participants , and during the Global Studio class in 2016 with 26 participants and 2017 with 28 participants . The student workshops were all on the topic of technology use in global CSCD projects and asked students to reflect on successful collaborative practices . Example outcomes from the workshops are reported in . GDP students were all final year master students within the department of design manufacture and engineering management at the University of Strathclyde . Students of the Global Studio class were all undergraduates within the design school at Loughborough University . The workshops asked participants to share their knowledge on CSCD topics , discuss success in collaboration and current and future barriers to collaboration , and how these barriers might be overcome through research . The knowledge collected from these workshops was used to iteratively develop the coding scheme until 19 distinct emerged . All outcomes from the workshops were collated and compared to the list of 220 factors to ensure no factors were missing from the list .",no factors,191,193,these barriers,147,149,no relation found
"Six workshops were conducted typically at the site of the involved companies . One workshop was conducted via an online conference tool . The workshops lasted on average about 90 min , with a minimum of 67 min and a maximum of 111 min . The workshops started by introducing the participants to the general aims and concepts of the IFM framework including central entities and their relations as well as offered possibilities for modelling and analysing functionality . The same presentation was used for all workshops . After introducing the general concept of the IFM framework , each view , its contents , and their links to other views were successively presented . The presentation part of the workshops took between 30 and 40 min . The questionnaire is organised according to the structure of the presentation , and participants were asked to evaluate the usefulness of views and contents in parallel . Additional feedback could be given using provided comment boxes . Participants were further asked for any information they would have considered useful , but is not included in the framework thus far . Finally , participants were asked for feedback concerning the applicability and usefulness of the framework in general , again both in the questionnaire and through open discussions .",Six workshops,0,2,their links,105,107,no relation found
"One major outcome from the workshops was an awareness that experts wished to discuss the differences and definition of , and collaboration and that many did not have a definition of each . Many academics argued that is inherent to and collaboration and so perhaps it is a of both . Students and academics argued that and collaboration are not distinct enough and so they should be contained under the same category or a joint category .",Many academics,33,35,they,64,65,no relation found
"The present study explains how different factors of knowledge hiding ( e.g. , evasive , playing dumb , and rationalized ) influence on team creativity . Drawn on social exchange theory , the present study theorizes that factors of knowledge hiding have a negative relationship with team creativity , and absorptive capacity mediates this relationship . In addition , the perceived mastery motivational climate ( PMMC ) as a moderator attenuates the negative relationship between factors of knowledge hiding and team creativity . Study 1 , an investigation ( through the experience sampling method ) from 41 participants of social media , confirms the existence of knowledge hiding practices in Pakistan . Study 2 applied a partial least squares , structural equation modeling approach on randomly selected time lag data of 282 respondents from state - owned universities of Pakistan . Results show that evasive hiding and playing dumb have a significant negative relationship with team creativity ; however , rationalized hiding does not affect significantly on team creativity . The absorptive capacity also does not mediate the relationship between factors of knowledge hiding and team creativity . The PMMC attenuates the negative influence of evasive hiding and playing dumb on team creativity ; however , the PMMC does not moderate the influence of rationalized hiding on team creativity . The implications and future research directions are discussed in the last section of this study .",future research directions,223,226,team creativity,23,25,no relation found
"We have demonstrated that it is possible to represent and visualize a BoM as a lattice , and embed a given lattice into a complete lattice generated from the same assembly model . Using lattices , multiple BOMs can be embedded to a given number of design definitions thereby enabling a designer to implement and manage changes more robustly . In addition , alternate valid product structures can be easily generated from the lattice representation . Tools to enable the creation This study has also demonstrated that current methods for reusing design definitions , such as DSM , become limited when the granularity of design definitions increase . Furthermore , with rapidly reducing product life cycles , to stay competitive , product development companies need to be able to implement design changes quickly and reliably , ensuring that consequences of a change have been considered . Current matrix - based techniques can enable this , but with high storage requirements of complex designs and their definitions , it becomes costly to maintain multiple digital definitions of the same product in different parts of the company . Embedding design structures within a smaller collection of design definitions provides a potential solution by allowing shape models to mediate across design structures . Furthermore , capturing functional information , and relating it to design definitions , is critical for designing . The example of the gap between the white line sensor and the ground provides a simple example of how shape models such as 3D CAD files alone provide insufficient information for future designers .",design definitions,46,48,3D CAD files,251,254,no relation found
"To state the same thing another way , if all experts agree that the concept is better than the datum , then a 1 is entered in that cell . If all experts agree that the concept is worse than the datum , then a 2 is entered . If there is any disagreement among the experts , then an is entered .",any disagreement,52,54,the concept,13,15,Any disagreement regarding the concept will lead to an entered.
"The main limitations of this study are related to both the sample group itself and the procedure , design , and measurement instrument . First , the sample size was fairly small , due to the difficulty inherent in contacting potential participants as the result of the rough terrain and the presence of new conflicts in certain regions of Colombia .",this study,4,6,the procedure,15,17,Limitations of this study is related to the procedure instrument.
"English in Bangladesh is significant in many ways . In order to supply the global demand of skilled workforce , English language proficiency is imperative . However , for the achievement of enhanced English language proficiency , an exclusionary approach such as scrapping Bangla and other ethnic languages from language planning is never desirable . Therefore , this research calls for adopting a glocal approach in providing appropriate linguistic attention to mother tongue and English , where Bangla and other indigenous languages would hold the root of the culture in terms of language practices in education and society while English will provide the nation more opportunity in the global stage . A national consensus should be made recognising multilingualism in Bangladesh which is historically , socially , and culturally evident in the land of Bangladesh , although it is politically unacknowledged .",the achievement,29,31,the land,131,133,no relation found
"The procedure to handle collective communication is shown as follows : First , Dwarf Code uses PMPI to intercept the collective calls when they are executed . All the processes involved in the group communication will record the collective calls in their traces . Their parameters are recorded including the buffer ( sendbuf & recvbuf ) , list length ( count ) , data type ( datatype ) , MPI operation ( op ) , MPI communicator ( comm ) . Meantime , the function names and the timestamps are recorded . Then , the collective communication does not need to reorder event sequences unlike the point- to - point communication because the whole communication group is involved in the communication . Third , the procedure of repeat compression is identical with the point - to - point communication .",collective communication,4,6,point,109,110,the collective communication does not require reorder of event sequences unlike the point-to-point communication.
"Social networking sites ( SNS ) are widely used among students , where its integration in higher education is increasing across years . Therefore , this study aimed to analyze students ' use of social presence ( SP ) expressions in blended learning environment using Facebook group as a medium of online discussion . A total of 11 students and one instructor were involved in 7 - week multimedia learning course in one of the Malaysian universities . The content of students ' online discussion on Facebook group was the source of the data in this study . The discussion content was transcribed , coded , and analyzed , and the frequencies of categories were calculated to determine students ' use of SP expressions . The findings of the study revealed that students focus on delivering more interactive response ( IR ) posts across all learning topics . Interestingly , although SNS are social in nature , this study revealed that students ' use of SP expressions on SNS was intended to improve course discussion interactivity rather than for pure socializing purpose . However , more theoretical topics triggered higher number of SP posts compared with technical focused topics . More importantly , the way students used SP expressions during courserelated interaction through Facebook may contribute to improved performance in test .",The findings,125,127,this study,25,27,The findings of this study revealed that student focus more on interactive responses.
"Next , we consider the case ( ii ) when a defect is situated in the lattice . The defect is represented by a region of nodes that are connected to each other by links stiffer than those in the ambient medium . The region of the defect , indicated by the black hexagon in .",the defect,46,48,links,34,35,The defect is represented by nodes connected by links.
"The number of CIDs that can be encoded in a tagged pointer depends on the number of bits dedicated for that purpose . The proposed technique can utilize a variable number of tag bits from 0 to If all tag bits are used for security or addressing purposes and no bits are left for encoding CIDs , a VM , implementing the proposed technique , does not have to be re-implemented . In other words , the proposed technique can be added to existing VMs without breaking backward compatibility .",the proposed technique,61,64,existing VMs,83,85,The proposed technique can be added to existing VMs without breaking backward compatibility.
"Overall , the analysis aimed to identify subgroups of clients with dif - the PHQ - 9 in the IF and SF condition . The analysis had to consider that the two conditions might differ with regard to the number of change patterns and shape of the derived trajectories . GMM with latent base specifications was used for this purpose . The PHQ - 9 measurement structured the change process . A detailed description of the modeling process is available in the supporting online information ( Appendix S1 ) . In short , the modeling process comprised three steps : First , the optimal number of classes for each condition was determined separately using single - group GMM . Second , to test for potential differences in change trajectories between conditions , multigroup GMM was used .",GMM,50,51,regard,36,37,no relation found
"For the sake of simplicity we assume that the initial channel assignment configuration of the APs results in an interference level below threshold , i.e. , the system is stable . The algorithm is then triggered every time the QoS of the downlink flow served by an AP changes . We also assume that the rate required by the flow is known to the algorithm , as discussed in Section 4.1 . Finally , we assume that there are L discrete applicable power levels available for the algorithm to choose from .",simplicity,4,5,the algorithm,63,65,"For simplicity, we assume the rate of the flow is known to the algorithm."
"Another rationale behind this study is the need to group for English courses such as oral training and presentations arising in the English curricula , since oral communication skills are always vital in the global workplace . Teaching English as a foreign language at all levels , particularly in Asia , focuses very much on listening and reading skills , probably because it is easier to administer tests of listening and reading than of speaking and writing . When language teachers assess students ' speaking performance , they usually choose from the scales used in academic institutions , such as the ACTFL Proficiency Guidelines ( American Council on the Teaching of Foreign Languages 2012 ) , and consult rubrics with numerical scales to cater for different speaking tasks . The most influential scale is CEFR , but one of the issues in adopting CEFR in curricula is whether teachers of English are able to assess spoken English on the CEFR scales .",Asia,49,50,CEFR,134,135,no relation found
"The reason for this article is not to focus on the topic that participants discussed ( African American English ) but rather to replicate Preston 's method . I had over 50 pages of transcript to work with , and the portion of the conversation I chose to analyze had a similar topic ( AAE ) but different rhetorical structure ( rhetorical as opposed to oppositional argument ) . With a similar topic we can concentrate on the structure and meaning of the discourse , although a discussion of the topic itself is inevitable since this is content-oriented analysis . In a future article I will choose an excerpt with a different topic but a similar rhetorical structure to the conversation in Preston 's 1994 article . The sociolinguistic interview that produced the data I analyze here was open-ended and did not have a specific focus . AAE happened to be mentioned by the participants and also happened to be the focus of Preston 's article . The topic should not distract readers from the reason for the article , which is enacting Preston 's method : applying Schiffrin 's analysis to folk-linguistic data . In my data gathering I did not ask about AAE nor was that my focus . The participants mentioned it without any prompting on my part .",I,28,29,participants,13,14,no relation found
"There are certain emergency packets in the network which need to be delivered to the destination node in a limited time . For example , when a fire occurs in a monitoring sensor network of EIoT , the packets carrying the temperature data need to be delivered as fast as possible . Generally , the number of emergency packets is small . The distance weighted method we mentioned in the previous section can reduce the end - to - end delay of the packets . However , it cannot guarantee the real - time performance of emergency packets .",it,87,88,the real - time performance,90,95,it cannot guarantee the real - time performance of emergency packets.
"The models we consider are motivated by , and aim to address , certain characteristics of the DDP that distinguish it from many other processes . In particular , the DDP tends to involve significant elements of novelty , complexity , and iteration . The following paragraphs introduce these interrelated issues and outline how process models can help to address them , before moving on to discuss this article 's contribution .",The models,0,2,complexity,39,40,The models tend to involve significant element of complexity.
"The marginalised people in developing countries may engage in producing goods , such as furniture , handicrafts and common household products . Such activities of producing goods play an important role in alleviating poverty and creating jobs for the poor , providing them opportunities of income generation . While the majority of the articles consider the poor as product consumers , some have considered their role as producers . Some articles report development of methods to support the design practice of poor people so that they can create products that are new and more desirable for the consumers in potential markets , thereby increasing product sale and their income . Such studies thus focus on enhancing design capability of poor producers . Factors that enhance adoption of design methods are also considered , e.g. skill and literacy level of poor people as well as other characteristics of the context in which they develop products .",developing countries,4,6,handicrafts,16,17,People in developing countries may engage in producing handicrafts.
"Tasks and resources are statically assigned among the available processors . Specifically , each task is allowed to execute its non-critical sections only on the processor to which it is assigned , and all requests from all tasks to a resource ' are allowed to execute only on the processor where ' is assigned . A processor is called an application processor if it executes non-critical sections only and is called synchronization processor if it executes critical sections . Synchronization processors may also execute non-critical sections , depending on the task and resource allocations .",all tasks,36,38,the processor,24,26,all requests from all tasks to a resource are allowed to execute only on the processor where its assigned.
"We believe that the use of JPA is a potential cause of this significant overhead introduced in the case of the delete operation . The traditional approach requires the database to read data before performing an update or delete operation . These operations require seek , which is unnecessarily expensive when the performance matters . One of the key features of NoSQL data stores is to improve the performance and , as such , most of the NoSQL data stores do not update and delete data in - place on disk for performance reasons . For example , Cassandra does not update or delete data in - place on disk to improve the performance .",The traditional approach,24,27,the case,17,19,no relation found
"The presence in the literature of the two aforementioned readings of polar interrogatives can perhaps be due to their linguistic design : nothing indicates whether a hypothesis has been advanced or not . While the design of tag and declarative questions ( see sections 7.2 and 7.3 ) clearly advances a hypothesis seeking confirmation , and wh-and alternative questions are clearly information - seeking , the design of polar interrogatives seems instead to be open to both readings , at least in Italian . Apart from prosody , only the turn sequential position and propositional content can help establish whether a polar interrogative is information - or confirmation - seeking , and therefore neutral or nonneutral .",tag,37,38,a polar interrogative,100,103,no relation found
"To overcome the limitations of the set composition - based , graph theoretical representation ( discussed in Sect .3.2 ) and to make use of already existing design knowledge with the designers , an EF - tree was created for the pump model , extending on the model created by the set composition . In this case , the function ' intercomponent attachment ' was divided into two ( ' enable suction attachment ' and enable ' discharge attachment ' ) , following axiomatic design principles . While creating the initial graph , this was identified as only one function . The ' intercomponent attachment ' is a function that needs to be satisfied at multiple locations in the casing . That is , the function is satisfied by different regions of the casing . Axiomatically , one function is satisfied by one and only one design parameter ; in our case a design solution , which is a section of the casing . Therefore , the function was split according to the location at which it is demanded , to be satisfied by a section at that region . These sections are the ' suction flange ' and the ' discharge flange ' . This enables us to use the EF - tree , the definition of which is based on axiomatic principles . An FR is solved by one and only one DS with an ' isb ' relation . Interactions that exist between an FR and DS that do not directly solve it , is represented by the ' iib ' relations . Thus the elements in the EF - tree with the ' isb ' and ' iib ' relations become the axiomatic design equation .",the designers,30,32,axiomatic design principles,83,86,no relation found
"The stimulation of tasks then serves as a potential method for the support and enhancement of designer process . Should a creative process and creative result be desired , stimulating the designer to complete a higher proportion of tasks could be the initiator . Similarly , should a creative process not be desired , stimulating a higher proportion of tasks could have the appropriate effect . The method of this stimulation is a subject for further work , but could involve the use of specific types of brainstorming , or temporarily imposed constraints on the subject of a designers work .",brainstorming,87,88,the appropriate effect,62,65,This stimulation could use specific types of brainstorming for the appropriate effect.
We obtained the sample data from the myPersonality project which was a popular Facebook application that offered to its users psychometric tests and feedback on their scores ( including the Big -five inventory ) .,We,0,1,a popular Facebook application,11,15,We obtained the sample data from the myPersonality project which was a popular Facebook application.
"A magnitude 7.1 earthquake struck the city of Christchurch and surrounding districts of North Canterbury , New Zealand , in the early hours of the 4th of September 2010 . The city escaped without fatalities , though there was substantial damage to many buildings and infrastructure . Aftershocks continued to shake Christchurch and on the 22nd of February 2011 , a hidden fault was jarred out of dormancy , resulting in a magnitude 6.3 earthquake that tore through the city at around lunchtime , causing 185 fatalities , some 7000 injuries , and the destruction of countless buildings , including much of Christchurch 's city centre . Although the February earthquake was smaller in magnitude , it struck far closer to the urban area ( only ~ 6 km from the city , compared with September 's quake which was ~ 44 km from central Christchurch ) , 8 and it was shallower than September 's seismic event had been . Also , ground acceleration readings measured more than twice the force of gravity one of the highest such readings ever recorded .",A magnitude,0,2,the highest such readings,176,180,no relation found
